# detector ID, old position (x), old position (y), old position (z), calibrated position (x), calibrated position (y), calibrated position (z), calib. L2, calib. 2\theta, calib. \phi, delta L2 (calibrated - old), difc, zero
115010,-1.5000000,0.0000000,-0.0270000,-1.4799629,0.0000000,-0.0266393,1.4802026749,1.5887943506,3.1415927410,-0.0200403184,18570.9042968750,-10.0414733887
115011,-1.5000000,0.0000000,-0.0300000,-1.4619327,0.0000000,-0.0292387,1.4622250795,1.5907936096,3.1415927410,-0.0380749404,18582.6367187500,-9.2180233002
115012,-1.5000000,0.0000000,-0.0330000,-1.4632018,0.0000000,-0.0321904,1.4635559320,1.5927927494,3.1415927410,-0.0368070677,18601.3164062500,-5.6235604286
115013,-1.5000000,0.0000000,-0.0360000,-1.4738891,0.0000000,-0.0353733,1.4743134975,1.5947917700,3.1415927410,-0.0261184275,18623.3847656250,-10.2479724884
115014,-1.5000000,0.0000000,-0.0390000,-1.4667738,0.0000000,-0.0381361,1.4672694206,1.5967904329,3.1415927410,-0.0332374424,18638.9960937500,-10.9505739212
115015,-1.4998382,0.0000000,-0.0447931,-1.4373761,0.0000000,-0.0429276,1.4380168915,1.6006526947,3.1415927410,-0.0624899752,18663.4179687500,2.5368068218
115016,-1.4996707,0.0000000,-0.0477884,-1.4733817,0.0000000,-0.0469507,1.4741295576,1.6026514769,3.1415927410,-0.0263023786,18694.6269531250,-13.7865390778
115017,-1.4995033,0.0000000,-0.0507837,-1.4837183,0.0000000,-0.0502491,1.4845689535,1.6046503782,3.1415927410,-0.0157940462,18716.5117187500,-15.3385210037
115018,-1.4993358,0.0000000,-0.0537790,-1.4946472,0.0000000,-0.0536109,1.4956083298,1.6066495180,3.1415927410,-0.0046916464,18738.6035156250,-20.5316181183
115019,-1.4991683,0.0000000,-0.0567744,-1.4595300,0.0000000,-0.0552732,1.4605762959,1.6086487770,3.1415927410,-0.0396667421,18743.9062500000,-8.3217754364
115020,-1.4990009,0.0000000,-0.0597697,-1.4644049,0.0000000,-0.0583902,1.4655685425,1.6106482744,3.1415927410,-0.0346234180,18763.7597656250,-9.3623075485
115021,-1.4988334,0.0000000,-0.0627650,-1.4527771,0.0000000,-0.0608364,1.4540504217,1.6126477718,3.1415927410,-0.0460966229,18777.5742187500,-2.6256818771
115022,-1.4986659,0.0000000,-0.0657603,-1.4469809,0.0000000,-0.0634924,1.4483731985,1.6146473885,3.1415927410,-0.0517347753,18793.4960937500,-4.0537872314
115023,-1.4984985,0.0000000,-0.0687556,-1.4490703,0.0000000,-0.0664877,1.4505949020,1.6166472435,3.1415927410,-0.0494801551,18812.2832031250,-4.7152571678
115024,-1.4983310,0.0000000,-0.0717510,-1.4582438,0.0000000,-0.0698313,1.4599149227,1.6186469793,3.1415927410,-0.0401330963,18833.6523437500,-8.5006971359
115025,-1.4981635,0.0000000,-0.0747463,-1.4455256,0.0000000,-0.0721201,1.4473235607,1.6206469536,3.1415927410,-0.0527034588,18846.9824218750,-1.5211389065
115026,-1.4979961,0.0000000,-0.0777416,-1.4619085,0.0000000,-0.0758688,1.4638757706,1.6226469278,3.1415927410,-0.0361361802,18870.9726562500,-7.7204446793
115027,-1.4978286,0.0000000,-0.0807369,-1.4813545,0.0000000,-0.0798489,1.4835050106,1.6246469021,3.1415927410,-0.0164980013,18896.0839843750,-15.7413730621
115028,-1.4976611,0.0000000,-0.0837323,-1.4898479,0.0000000,-0.0832954,1.4921746254,1.6266468763,3.1415927410,-0.0078254137,18917.1640625000,-21.2940502167
115029,-1.4974937,0.0000000,-0.0867276,-1.4718486,0.0000000,-0.0852423,1.4743149281,1.6286468506,3.1415927410,-0.0256880801,18928.4765625000,-12.4220123291
115030,-1.4973262,0.0000000,-0.0897229,-1.4780056,0.0000000,-0.0885652,1.4806567430,1.6306468248,3.1415927410,-0.0193553139,18948.6660156250,-15.3293008804
115031,-1.4971588,0.0000000,-0.0927182,-1.4615370,0.0000000,-0.0905122,1.4643369913,1.6326467991,3.1415927410,-0.0356899947,18960.4902343750,-10.5908269882
115032,-1.4969913,0.0000000,-0.0957135,-1.4564596,0.0000000,-0.0931221,1.4594335556,1.6346466541,3.1415927410,-0.0406144224,18976.4941406250,-4.3769021034
115033,-1.4968238,0.0000000,-0.0987089,-1.4748364,0.0000000,-0.0972589,1.4780398607,1.6366465092,3.1415927410,-0.0220351350,19001.1523437500,-16.4765834808
115034,-1.4966564,0.0000000,-0.1017042,-1.5036693,0.0000000,-0.1021807,1.5071370602,1.6386462450,3.1415927410,0.0070290864,19029.6796875000,-33.7353630066
115035,-1.4964889,0.0000000,-0.1046995,-1.4670129,0.0000000,-0.1026373,1.4705989361,1.6406459808,3.1415927410,-0.0295480732,19033.9375000000,-13.6085052490
